???ID,?????,???????,??????,??????, ??? ,????,??????, ??? 
1,2019-01-02,1,???????,NT150600," 916,200 ",7,0.1," 5,772,060 "
2,2019-01-02,1,???????,MP010062," 133,500 ",8,0.1," 961,200 "
3,2019-01-02,6,??¥é? ????,CA280298," 80,700 ",11,0.1," 798,930 "
4,2019-01-02,16,???????,OA290227," 27,900 ",8,0," 223,200 "
5,2019-01-02,6,??¥é? ????,TV090361," 816,500 ",7,0," 5,715,500 "
6,2019-01-02,48,????????,PC170590," 423,700 ",11,0," 4,660,700 "
7,2019-01-02,48,????????,TV090654," 1,011,800 ",1,0," 1,011,800 "
8,2019-01-02,6,??¥é? ????,OA290227," 27,900 ",9,0," 251,100 "
9,2019-01-03,28,????????,SP320563," 210,000 ",14,0," 2,940,000 "
10,2019-01-03,53,????????,PJ190252," 1,085,800 ",20,0," 21,716,000 "
11,2019-01-03,47,???¥í????,TV090368," 512,700 ",2,0," 1,025,400 "
12,2019-01-03,4,???????,SP320563," 210,000 ",34,0.1," 6,426,000 "
13,2019-01-04,47,???¥í????,MP010006," 281,700 ",7,0.1," 1,774,710 "
14,2019-01-04,3,??????,MP010025," 223,100 ",6,0.1," 1,204,740 "
15,2019-01-04,25,?????,CA270427," 824,100 ",1,0.1," 741,690 "
16,2019-01-04,51,??????,OA290108," 37,600 ",8,0.1," 270,720 "
17,2019-01-04,47,???¥í????,TV090347," 570,600 ",18,0," 10,270,800 "
18,2019-01-05,48,????????,TV090362," 807,600 ",5,0," 4,038,000 "
19,2019-01-05,20,????????,SP310567," 325,400 ",5,0.1," 1,464,300 "
20,2019-01-05,37,J????,PA220231," 156,600 ",7,0.1," 986,580 "
21,2019-01-05,14,?????,BH060632," 218,700 ",3,0.1," 590,490 "
22,2019-01-05,9,?????,SP310567," 325,400 ",2,0.1," 585,720 "
23,2019-01-06,37,J????,CA270433," 508,400 ",21,0.1," 9,608,760 "
24,2019-01-06,28,????????,MP010009," 281,700 ",13,0.1," 3,295,890 "
25,2019-01-06,42,?¯C????,CA280112," 248,900 ",7,0.1," 1,568,070 "
26,2019-01-06,25,?????,BH060509," 34,600 ",5,0.1," 155,700 "
27,2019-01-07,32,????????,PA220176," 33,900 ",6,0.1," 183,060 "
28,2019-01-07,18,????????,PA220123," 29,000 ",7,0.1," 182,700 "
29,2019-01-07,10,??????,PC170692," 423,700 ",13,0.1," 4,957,290 "
30,2019-01-07,9,?????,MP010041," 129,100 ",16,0.1," 1,859,040 "
31,2019-01-08,50,???¥í??????,PJ190248," 907,400 ",20,0.1," 16,333,200 "
32,2019-01-08,15,??????,PA220224," 17,400 ",7,0.1," 109,620 "
33,2019-01-08,45,??????,NT150389," 700,300 ",24,0," 16,807,200 "
